item_code,item_name,system,trade,unit,typical_qty_notes,labor_hours_low,labor_hours_high,material_low,material_high,complexity_modifiers_notes,permit_likely,specialist_required
STRUCT-001,Sister floor joist (localized repair),Structure,Carpentry,ea,"Per joist area; 1–4 typical",6.0,16.0,80,400,"Plumbing/electrical conflicts, rot extent, beam bearing issues",yes,yes
STRUCT-002,Replace rotted rim joist section,Structure,Carpentry,lf,"Often 4–12 LF",8.0,20.0,120,600,"Jacking/support needs, termite damage, access",yes,yes
STRUCT-003,Install adjustable steel column (support post),Structure,Foundation/Carpentry,ea,"1–3 typical",6.0,14.0,150,700,"Footing requirements, load path engineering, slab cutting",yes,yes
STRUCT-004,Repair/replace deck ledger attachment,Structure/Deck,Carpentry,ea,"Per ledger run",8.0,20.0,120,600,"Hidden rot, flashing integration, full deck rebuild risk",yes,yes
STRUCT-005,Replace damaged deck boards (spot),Structure/Deck,Carpentry,ea,"Per board/section",2.0,6.0,40,250,"Fastener type, wood vs composite match, railing removal",no,no
STRUCT-006,Install/repair deck guard/rail (code height),Structure/Deck,Carpentry,lf,"Often 10–40 LF",6.0,16.0,120,800,"Baluster spacing, post anchorage, stairs complexity",yes,no
ELECT-001,Replace standard receptacle (per device),Electrical,Electrician,ea,"Often 2–10",0.3,0.8,3,15,"Old boxes, brittle wiring, aluminum wiring requires specialist",no,no
ELECT-002,Replace GFCI receptacle (incl. testing/labeling),Electrical,Electrician,ea,"Kitchens/baths/garage/outdoor; often 2–8",0.5,1.0,18,35,"No equipment ground, multi-wire branch circuits, nuisance trips",no,no
ELECT-003,Install GFCI breaker (where receptacle not feasible),Electrical,Electrician,ea,"Per circuit",1.0,2.5,45,120,"Panel brand/availability, tandem limitations, shared neutrals",no,no
ELECT-004,Replace AFCI breaker,Electrical,Electrician,ea,"Per circuit",1.0,2.5,45,140,"Nuisance trips, older wiring, panel compatibility",no,no
ELECT-005,Replace two-prong receptacle w/ GFCI & label (no ground),Electrical,Electrician,ea,"Per location",0.5,1.0,18,35,"Old cloth wiring, box fill limits",no,no
ELECT-006,Repair open ground/reversed polarity at receptacle,Electrical,Electrician,ea,"Per device",0.8,2.0,0,25,"Multiple splices, bootleg grounds, damaged conductors",no,no
ELECT-007,Replace light switch (standard),Electrical,Electrician,ea,"Per switch",0.3,0.8,3,15,"Old boxes, multi-gang plates, smart switch neutrals",no,no
ELECT-008,Install CO/smoke alarm (battery or hardwired replacement),Electrical,Handyman/Electrician,ea,"Per alarm; often 3–8",0.3,1.0,15,60,"Hardwired interconnect, high ceilings, old wiring",no,no
ELECT-009,Replace exterior weatherproof receptacle/in-use cover,Electrical,Electrician,ea,"Per location",0.8,1.8,15,60,"Masonry surfaces, deteriorated box, wet location corrosion",no,no
ELECT-010,Install bonding jumper at water heater (as applicable),Electrical,Electrician,ea,"Per heater",0.5,1.5,10,40,"Access to grounding electrode system, mixed piping materials",no,no
ELECT-011,Replace/repair service mast/weatherhead/drip loop (minor),Electrical,Electrician,ea,"Service entry components",2.0,6.0,50,250,"Utility coordination, height, overhead conductors",yes,yes
ELECT-012,Install ground rod/upgrade grounding electrode (basic),Electrical,Electrician,ea,"Add rod and bond",2.0,6.0,30,150,"Rocky soil, long run to panel, existing improper bonding",yes,no
ELECT-013,Replace main breaker/panel cover (minor),Electrical,Electrician,ea,"Not a full panel replacement",1.5,4.0,50,250,"Obsolete parts, utility shutoff coordination",yes,yes
ELECT-014,Replace electrical panel (100–200A typical),Electrical,Electrician,ea,"1 panel",12.0,24.0,600,2200,"Service upgrade, rewiring, arc-fault/GFCI requirements, drywall repair",yes,yes
ELECT-015,Add dedicated circuit (basic run, unfinished access),Electrical,Electrician,circuit,"1 new circuit; 20A typical",4.0,10.0,80,300,"Finished walls, long runs, attic/crawl access, panel space",yes,no
ELECT-016,Replace/repair ceiling fan (swap existing),Electrical,Electrician,ea,"Per fan",1.0,3.0,50,300,"High ceiling, bracing needed, old wiring colors",no,no
ELECT-017,Install/replace bathroom exhaust fan (vented),Electrical/HVAC,Electrician/HVAC,ea,"1 fan",3.0,8.0,80,350,"New duct run, roof/wall cap, attic access, condensation issues",no,no
ELECT-018,Replace exterior light fixture,Electrical,Electrician,ea,"Per fixture",0.8,2.0,20,150,"Rotten mounting surface, water intrusion, height",no,no
ELECT-019,Correct double-tapped breaker (re-terminate/add breaker),Electrical,Electrician,ea,"Per issue",0.8,2.5,10,120,"Panel space, wire gauge, need for tandem or subpanel",no,no
ELECT-020,Install surge protector (panel-mounted),Electrical,Electrician,ea,"1 device",1.0,2.5,80,250,"Panel compatibility, routing, breaker space",no,no
PLUMB-001,Replace toilet (standard),Plumbing,Plumber,ea,"1 toilet",2.0,4.5,120,450,"Flange damage, shutoff valve replacement, tight bathroom",no,no
PLUMB-002,Reset toilet (new wax ring/bolts),Plumbing,Plumber,ea,"1 toilet",1.5,3.5,10,40,"Flange repair, rotten subfloor, tile condition",no,no
PLUMB-003,Replace angle stop/shutoff valve,Plumbing,Plumber,ea,"Per fixture",0.8,2.0,10,35,"Old galvanized, seized valves, compression vs solder",no,no
PLUMB-004,Repair leaking P-trap or drain connection,Plumbing,Plumber,ea,"Per sink",1.0,2.5,10,60,"Corrosion, tight cabinets, wall stub-out condition",no,no
PLUMB-005,Replace faucet (bathroom),Plumbing,Plumber,ea,"Per faucet",1.5,3.5,40,250,"Corroded nuts, no shutoffs, pedestal sinks",no,no
PLUMB-006,Replace kitchen faucet,Plumbing,Plumber,ea,"1 faucet",1.5,3.5,60,350,"Harder access, sprayer/soap dispenser holes, shutoffs",no,no
PLUMB-007,Replace garbage disposal,Plumbing,Plumber,ea,"1 disposal",1.5,3.5,80,250,"Old flange, dishwasher tie-in, jammed mounting ring",no,no
PLUMB-008,Repair/replace tub/shower diverter/trim (basic),Plumbing,Plumber,ea,"Per valve/trim set",2.0,6.0,30,200,"Valve brand/parts, behind-wall access, old galvanized",no,no
PLUMB-009,Replace shower valve (with wall access),Plumbing,Plumber,ea,"1 valve",6.0,14.0,80,350,"No access panel, tile demo/repair, mixed piping",yes,no
PLUMB-010,Replace water heater (tank, 40–50 gal),Plumbing,Plumber,ea,"1 heater",4.0,8.0,500,1200,"Gas vs electric, pan/drain, venting corrections, tight closets",yes,no
PLUMB-011,Install/replace TPR discharge pipe,Plumbing,Plumber,ea,"Per heater",0.8,2.0,10,40,"Routing to proper termination, clearance issues",no,no
PLUMB-012,Replace flexible supply lines (sink/toilet),Plumbing,Plumber,ea,"Per line",0.3,0.8,5,20,"Old corroded fittings, no shutoffs",no,no
PLUMB-013,Repair minor pipe leak (accessible),Plumbing,Plumber,ea,"Per leak point",1.5,4.0,10,120,"Copper solder vs PEX, drywall access, freeze damage",no,no
PLUMB-014,Replace section of galvanized pipe (localized),Plumbing,Plumber,lf,"Often 2–10 LF",4.0,12.0,50,300,"Threaded fittings seized, transition fittings, corrosion spread",yes,no
PLUMB-015,Hydro-jet/main drain cleaning (basic),Plumbing,Drain Specialist,ea,"Per line",2.0,5.0,0,200,"Root intrusion, collapsed pipe, cleanout access",no,yes
PLUMB-016,Camera inspection of sewer line (diagnostic add-on),Plumbing,Drain Specialist,ea,"Per run",1.0,2.5,0,100,"Long runs, no cleanout, requires locating",no,yes
PLUMB-017,Install/replace cleanout (as accessible),Plumbing,Plumber,ea,"1 cleanout",3.0,8.0,30,180,"Concrete cutting, yard excavation, code location",yes,no
PLUMB-018,Replace hose bibb/frost-free sillcock,Plumbing,Plumber,ea,"1 hose bibb",2.0,6.0,30,150,"Interior access, pipe type, anti-siphon requirements",no,no
PLUMB-019,Replace pressure reducing valve (PRV),Plumbing,Plumber,ea,"1 valve",3.0,7.0,60,200,"Old unions, main shutoff condition, cramped meter pit",yes,no
PLUMB-020,Install/replace water softener loop/bypass (basic),Plumbing,Plumber,ea,"Per setup",4.0,10.0,80,350,"Drain/overflow routing, electrical outlet, code air gaps",yes,no
HVAC-001,HVAC service tune-up (furnace/air handler),HVAC,HVAC Tech,ea,"Per system",1.0,2.5,0,50,"Access, heavy cleaning needed, older units",no,yes
HVAC-002,Replace HVAC air filter (standard),HVAC,Handyman,ea,"Per filter",0.1,0.3,8,35,"Hard-to-reach filter location, non-standard sizes",no,no
HVAC-003,Replace thermostat (basic programmable),HVAC,HVAC Tech,ea,"1 thermostat",1.0,2.5,30,200,"Heat pump wiring complexity, no C-wire, smart setup",no,no
HVAC-004,Add C-wire or power adapter for smart thermostat,HVAC,HVAC Tech,ea,"Per thermostat",1.5,4.0,15,80,"No spare conductors, long run, control board limitations",no,no
HVAC-005,Replace condenser disconnect (whip/disconnect),HVAC/Electrical,Electrician/HVAC,ea,"1 disconnect",1.0,3.0,30,120,"Corrosion, breaker sizing, conduit work",no,no
HVAC-006,Replace capacitor (run/start),HVAC,HVAC Tech,ea,"Per unit",0.8,2.0,15,80,"Hard-to-access, dual capacitor sizing, diagnostic time",no,yes
HVAC-007,Replace contactor,HVAC,HVAC Tech,ea,"Per condenser",0.8,2.0,15,90,"Electrical burn damage, wiring correction",no,yes
HVAC-008,Replace condenser fan motor,HVAC,HVAC Tech,ea,"Per condenser",2.0,5.0,120,450,"Blade removal seized, motor match, high ambient",no,yes
HVAC-009,Clear/flush condensate drain line,HVAC,HVAC Tech,ea,"Per system",0.8,2.0,10,40,"Clog severity, attic unit access, pan overflow cleanup",no,no
HVAC-010,Install secondary drain pan float switch,HVAC,HVAC Tech,ea,"Per attic unit",1.0,2.5,20,80,"Wiring to controls, tight pan clearance",no,no
HVAC-011,Duct sealing (mastic at accessible joints),HVAC,HVAC,lf,"Often 20–80 LF accessible",2.0,8.0,20,120,"Crawlspace/attic conditions, old ductboard, insulation repair",no,no
HVAC-012,Replace flexible duct run (small section),HVAC,HVAC,lf,"Often 10–25 LF",3.0,8.0,50,200,"Tight routing, balancing, insulated duct requirements",no,no
HVAC-013,Replace bath fan duct to exterior (correct termination),HVAC,HVAC,ea,"Per fan",2.0,6.0,40,150,"Roof penetration, damper, insulation/condensation control",no,no
HVAC-014,Replace gas furnace (like-for-like),HVAC,HVAC,ea,"1 furnace",12.0,24.0,1800,5500,"Flue/venting changes, gas piping, condensate, permits",yes,yes
HVAC-015,Replace AC condenser/coil (split system),HVAC,HVAC,ea,"1 system",14.0,28.0,2500,8000,"Refrigerant type, line set issues, duct/plenum modifications, permits",yes,yes
INTERIOR-001,Patch and paint small drywall holes,Interior,Drywall/Paint,ea,"Per area; common 1–6 spots",1.5,5.0,10,80,"Texture match, large holes, multiple coats/dry time",no,no
INTERIOR-002,Repair ceiling stain area (prep/prime/paint),Interior,Painting,ea,"Per room/area",2.0,6.0,20,120,"Active leak must be resolved first, stain blocking, high ceilings",no,no
INTERIOR-003,Replace interior door hardware (knob/lever),Interior,Handyman,ea,"Per door",0.5,1.5,15,80,"Misaligned latch, old mortise locks, re-bore needed",no,no
INTERIOR-004,Rehang/adjust interior door (rubs/doesn't latch),Interior,Carpentry,ea,"Per door",1.0,3.5,0,40,"Settlement, hinge mortise issues, jamb out of plumb",no,no
INTERIOR-005,Replace baseboard/trim (small section),Interior,Carpentry,lf,"Often 10–40 LF",2.0,6.0,20,150,"Coping corners, paint/stain match, uneven walls",no,no
INTERIOR-006,Install/replace bathroom caulk at tub/shower,Interior,Handyman,ea,"Per tub/shower",1.0,3.0,10,40,"Old caulk removal, mold remediation, wet surfaces",no,no
INTERIOR-007,Replace damaged floor plank/tile (spot),Interior,Flooring,ea,"Per plank/tile area",2.0,8.0,20,200,"Matching discontinued materials, subfloor damage, adhesives",no,no
INTERIOR-008,Repair squeaky floor (accessible from below),Interior,Carpentry,ea,"Per room/area",1.5,5.0,10,60,"No access below, insulation, plumbing runs",no,no
INTERIOR-009,Replace interior light fixture (simple),Interior,Electrician,ea,"Per fixture",0.8,2.0,20,150,"Old wiring, heavy fixtures require bracing",no,no
INTERIOR-010,Install closet shelving (wire/basic),Interior,Handyman,lf,"Often 6–24 LF",1.5,5.0,30,180,"Drywall anchors vs studs, uneven walls",no,no
INSUL-001,Add attic insulation (blown-in top-up),Attic/Insulation,Insulation,sf,"Per SF of attic; common 500–1500 SF",6.0,16.0,300,1800,"Low clearance, air sealing needed first, baffles, access hatch size",no,no
INSUL-002,Air seal attic penetrations (top plates, cans, chases),Attic/Insulation,Insulation,ea,"Per penetration/group; often 10–40",4.0,12.0,30,200,"Knob-and-tube wiring, recessed lights not IC-rated, tight attic",no,no
INSUL-003,Weatherstrip attic hatch/pull-down stairs,Attic/Insulation,Handyman,ea,"1 opening",1.0,2.5,15,60,"Odd sizes, missing cover box, ladder clearance",no,no
INSUL-004,Replace bathroom/kitchen exhaust vent termination cap,Attic/Exterior,HVAC,ea,"Per termination",1.5,4.0,20,120,"Roof work, high access, proper damper and flashing",no,no
APPL-001,Replace dishwasher (swap),Appliances,Appliance Installer,ea,"1 unit",2.0,5.0,450,1200,"Shutoff/valve issues, electrical hardwire, cabinet fit",no,no
APPL-002,Replace range/oven anti-tip bracket (install),Appliances,Handyman,ea,"1 bracket",0.5,1.5,10,35,"Floor type, missing fasteners, leveling issues",no,no
APPL-003,Replace dryer vent transition duct (short),Appliances,Handyman,ea,"1 duct",0.5,1.5,10,40,"Tight space behind dryer, foil vs semi-rigid requirements",no,no
APPL-004,Clean dryer vent (typical single run),Appliances,Duct Cleaning,ea,"Per run",1.0,3.0,0,80,"Long runs, roof termination, bird nests, booster fan",no,yes
APPL-005,Replace over-the-range microwave (swap),Appliances,Handyman,ea,"1 unit",1.5,4.0,200,600,"Cabinet modifications, venting alignment, heavy lifting",no,no
APPL-006,Replace refrigerator water line (basic),Appliances,Handyman,ea,"1 line",0.5,2.0,10,40,"Valve access, copper vs braided, leak damage",no,no
GARAGE-001,Adjust garage door (basic tune),Garage,Garage Door Tech,ea,"1 door",1.0,2.5,0,50,"Heavy doors, worn rollers, track alignment issues",no,yes
GARAGE-002,Replace garage door springs (pair),Garage,Garage Door Tech,ea,"1 door",1.5,3.5,120,300,"High-tension hazard; always specialist",no,yes
GARAGE-003,Replace garage door opener (swap),Garage,Garage Door Tech,ea,"1 opener",2.0,5.0,200,450,"Ceiling height, wiring/sensors, belt vs chain",no,yes
GARAGE-004,Install safety sensors/repair photo eyes,Garage,Garage Door Tech,ea,"Per door",0.8,2.0,20,80,"Wiring damage, alignment, sunlight interference",no,yes
PLUMB-021,Replace/repair tub overflow/drain assembly,Plumbing,Plumber,ea,"Per tub",2.0,6.0,25,120,"Access behind tub, old brass corrosion, alignment",no,no
PLUMB-022,Replace showerhead/arm (basic),Plumbing,Handyman,ea,"Per shower",0.3,1.0,15,80,"Stuck arm in elbow, thread damage, mineral buildup",no,no
PLUMB-023,Install water heater pan and drain line,Plumbing,Plumber,ea,"Per heater",2.0,6.0,40,180,"No nearby drain, routing through finished space, code details",yes,no
PLUMB-024,Repair/replace vent stack flashing leak (plumbing side),Plumbing,Plumber,ea,"Per penetration",1.5,4.0,20,120,"Roof access, coordination with roofer, brittle pipe",no,no
PLUMB-025,Replace dishwasher supply/air gap (as applicable),Plumbing,Plumber,ea,"Per connection",0.8,2.0,10,50,"Clogged air gap, cabinet access, old valves",no,no
ELECT-021,Install tamper-resistant receptacle (TR),Electrical,Electrician,ea,"Per location",0.3,0.8,3,15,"Old wiring/boxes, multi-gang plates",no,no
ELECT-022,Install exterior service GFCI at panel/first outlet (troubleshoot),Electrical,Electrician,ea,"Per problem area",1.0,3.0,10,80,"Shared neutrals, hidden junctions, moisture intrusion",no,no
ELECT-023,Replace recessed light trim/can (basic swap),Electrical,Electrician,ea,"Per can",0.8,2.0,15,80,"Insulation contact rating, attic access",no,no
ELECT-024,Install junction box cover / correct open splice,Electrical,Electrician,ea,"Per location",0.5,2.0,2,15,"Hidden splices in attic/crawl, damaged conductors",no,no
ELECT-025,Install/replace bathroom GFCI/AFCI protection (combined),Electrical,Electrician,circuit,"Per circuit",1.0,3.0,45,160,"Panel brand, nuisance tripping, shared neutrals",no,no
ROOF-011,Replace skylight flashing kit (existing skylight),Roofing,Roofing,ea,"Per skylight",4.0,10.0,150,500,"Roof type, curb condition, interior drywall staining",no,no
ROOF-012,Replace skylight (standard deck-mount),Roofing,Roofing,ea,"Per skylight",6.0,14.0,300,1200,"Interior finish work, curb framing, roof pitch",yes,no
EXT-016,Repair/replace exterior hose bibb insulation cover,Exterior,Handyman,ea,"Per hose bibb",0.2,0.5,3,15,"None significant; winterization add-on",no,no
EXT-017,Install door threshold/adjust exterior door,Exterior,Carpentry,ea,"Per door",2.0,6.0,20,150,"Rot at sill, out-of-square frame, water intrusion",no,no
EXT-018,Repair cracked stucco (small patch),Exterior,Stucco,sf,"Often 5–25 SF",4.0,12.0,30,200,"Color match, lath issues, moisture behind stucco",no,yes
SITE-006,Install simple swale (minor reshaping),Site/Drainage,Landscaping,lf,"Often 20–60 LF",4.0,12.0,0,200,"Haul-off, soil type, turf restoration",no,no
SITE-007,Add gravel border/drip line at foundation (optional),Site/Drainage,Landscaping,lf,"Often 20–80 LF",3.0,10.0,60,400,"Weed barrier, edging, haul distance",no,no
FOUND-006,Install/replace crawlspace vent cover/screen,Structure/Crawlspace,Handyman,ea,"Per vent; often 2–8",0.3,1.0,5,25,"Masonry drilling, rusted fasteners",no,no
FOUND-007,Repair minor settlement cracks in drywall (cosmetic),Interior,Drywall/Paint,ea,"Per room/area",2.0,6.0,10,80,"Ongoing movement, need for tape vs mud only, texture",no,no
STRUCT-007,Install joist hangers/straps (localized),Structure,Carpentry,ea,"Per connector",2.0,6.0,10,60,"Access, engineered requirements, fastener schedule",yes,yes
STRUCT-008,Repair/replace porch post base (rot at bottom),Structure/Exterior,Carpentry,ea,"Per post",4.0,12.0,40,250,"Temporary shoring, column type, concealed rot",yes,no
HVAC-016,Replace flue/vent connector (water heater/furnace - basic),HVAC,HVAC Tech,ea,"Per appliance",2.0,6.0,40,200,"Combustion safety, chimney issues, code clearances",yes,yes
HVAC-017,Install/replace smoke/CO near mechanical room (safety add-on),HVAC,Handyman,ea,"Per alarm",0.3,1.0,15,60,"Hardwired interconnect adds labor",no,no
INTERIOR-011,Replace bathroom exhaust fan grille/cleaning,Interior,Handyman,ea,"Per fan",0.5,1.5,0,30,"Heavy lint, high ceilings",no,no
INTERIOR-012,Replace vanity (swap),Interior,Carpentry/Plumbing,ea,"1 vanity",4.0,10.0,250,1200,"Plumbing alignment, wall damage, countertop/sink type",no,no
INTERIOR-013,Install grab bars in bath (blocking/anchors),Interior,Handyman,ea,"Per bar",1.0,3.0,20,80,"No studs at location, tile drilling, waterproofing",no,no
INTERIOR-014,Replace bathroom fan with light (combo),Interior,Electrician,ea,"1 unit",3.0,8.0,80,300,"New wiring, ducting, ceiling framing modifications",no,no
INTERIOR-015,Replace interior stair handrail,Interior,Carpentry,lf,"Often 8–20 LF",2.0,8.0,40,300,"Code height/returns, plaster walls, anchors",no,no
INSUL-005,Seal duct boots/register gaps to drywall,Attic/Insulation,HVAC,ea,"Per register; often 6–14",2.0,6.0,10,60,"Access from attic/crawl, brittle boots",no,no
APPL-007,Install/replace range hood (ducted or recirc),Appliances,Handyman/HVAC,ea,"1 hood",2.0,6.0,120,500,"New duct route, cabinet modifications, electrical",no,no
APPL-008,Replace washer supply hoses (braided),Appliances,Handyman,ea,"Per washer",0.3,1.0,20,50,"Old shutoffs fail, tight access",no,no
APPL-009,Replace refrigerator ice maker line shutoff (valve),Appliances,Plumber,ea,"1 valve",1.0,3.0,10,60,"Piercing saddle valve removal, copper repair",no,no
GARAGE-005,Patch/repair garage drywall (fire separation),Garage,Drywall/Paint,ea,"Per area/penetration",2.0,6.0,10,80,"Ceiling work, taped joints, fire-rated details",no,no
GARAGE-006,Install self-closing door hinge (garage-to-house) as required,Garage,Handyman,ea,"Per door",1.0,3.0,15,80,"Door alignment, hinge mortise changes",no,no
ELECT-026,Correct missing breaker knockouts / install filler plates,Electrical,Electrician,ea,"Per panel",0.3,1.0,2,15,"Crowded panel, safety precautions",no,no
ELECT-027,Replace/upgrade bathroom/kitchen light to LED fixture,Electrical,Electrician,ea,"Per fixture",0.8,2.0,20,150,"Old wiring, high ceilings, vanity backplate mismatch",no,no
PLUMB-026,Replace tub/shower caulk + minor grout touch-up,Plumbing/Interior,Handyman,ea,"Per surround",1.5,4.0,15,60,"Mold, loose tiles, persistent moisture",no,no
PLUMB-027,Replace sink pop-up assembly/drain stopper,Plumbing,Handyman/Plumber,ea,"Per sink",0.5,1.5,10,40,"Corroded drain body, alignment issues",no,no
